InvoiceID,SKUID,Item
55,32,GREEN ORCHID
56,25,PURPLE ORCHID
56,20,YELLOW ORANGE ROSE
56,16,RED SUNFLOWER
56,28,VIOLET ORCHID
57,15,YELLOW LILY
58,14,YELLOW ROSE
58,22,BONSAI DISZGALAGONYA
58,27,RED ORCHID
58,16,RED SUNFLOWER
59,27,RED ORCHID
59,12,SUNFLOWER
59,32,GREEN ORCHID
60,25,PURPLE ORCHID
60,13,WHITE RED ROSE
61,32,GREEN ORCHID
61,27,RED ORCHID
61,19,CAUDATA
62,21,RED ROSE
62,12,SUNFLOWER
62,23,BONSAI PINE
62,31,CHERRY TREE
63,26,WHITE ORCHID
63,29,BONSAI ELM
64,25,PURPLE ORCHID
64,19,CAUDATA
64,18,SWEET WILLIAM
64,26,WHITE ORCHID
65,19,CAUDATA
66,23,BONSAI PINE
67,20,YELLOW ORANGE ROSE
67,14,YELLOW ROSE
67,29,BONSAI ELM
67,16,RED SUNFLOWER
68,29,BONSAI ELM
68,19,CAUDATA
69,12,SUNFLOWER
69,13,WHITE RED ROSE
70,31,CHERRY TREE
70,28,VIOLET ORCHID
70,32,GREEN ORCHID
70,12,SUNFLOWER
71,12,SUNFLOWER
71,32,GREEN ORCHID
71,20,YELLOW ORANGE ROSE
72,30,BONSAI JUNIPER
72,29,BONSAI ELM
72,25,PURPLE ORCHID
73,23,BONSAI PINE
73,32,GREEN ORCHID
74,21,RED ROSE
75,15,YELLOW LILY
77,18,SWEET WILLIAM
77,23,BONSAI PINE
77,16,RED SUNFLOWER
78,20,YELLOW ORANGE ROSE
78,18,SWEET WILLIAM
78,16,RED SUNFLOWER
79,28,VIOLET ORCHID
79,19,CAUDATA
79,26,WHITE ORCHID
79,18,SWEET WILLIAM
80,32,GREEN ORCHID
80,30,BONSAI JUNIPER
80,28,VIOLET ORCHID
81,14,YELLOW ROSE
81,27,RED ORCHID
81,18,SWEET WILLIAM
82,25,PURPLE ORCHID
82,28,VIOLET ORCHID
82,29,BONSAI ELM
82,24,BONSAI ACER BUERGERIANUM
83,19,CAUDATA
84,32,GREEN ORCHID
84,21,RED ROSE
84,30,BONSAI JUNIPER
85,17,WHITE VIOLET ORCHID
85,21,RED ROSE
85,23,BONSAI PINE
85,22,BONSAI DISZGALAGONYA
86,29,BONSAI ELM
87,14,YELLOW ROSE
87,21,RED ROSE
87,22,BONSAI DISZGALAGONYA
88,15,YELLOW LILY
88,24,BONSAI ACER BUERGERIANUM
88,17,WHITE VIOLET ORCHID
89,21,RED ROSE
90,17,WHITE VIOLET ORCHID
90,30,BONSAI JUNIPER
90,32,GREEN ORCHID
90,25,PURPLE ORCHID
91,25,PURPLE ORCHID
91,16,RED SUNFLOWER
92,20,YELLOW ORANGE ROSE
93,30,BONSAI JUNIPER
93,25,PURPLE ORCHID
93,29,BONSAI ELM
93,13,WHITE RED ROSE
94,27,RED ORCHID
94,12,SUNFLOWER
94,13,WHITE RED ROSE
95,19,CAUDATA
95,29,BONSAI ELM
95,23,BONSAI PINE
96,24,BONSAI ACER BUERGERIANUM
96,27,RED ORCHID
96,26,WHITE ORCHID
96,25,PURPLE ORCHID
97,25,PURPLE ORCHID
97,20,YELLOW ORANGE ROSE
98,19,CAUDATA
98,18,SWEET WILLIAM
99,26,WHITE ORCHID
99,17,WHITE VIOLET ORCHID
99,30,BONSAI JUNIPER
99,14,YELLOW ROSE
100,23,BONSAI PINE
100,26,WHITE ORCHID
101,19,CAUDATA
101,17,WHITE VIOLET ORCHID
101,26,WHITE ORCHID
102,22,BONSAI DISZGALAGONYA
102,14,YELLOW ROSE
102,18,SWEET WILLIAM
103,29,BONSAI ELM
103,22,BONSAI DISZGALAGONYA
103,13,WHITE RED ROSE
104,21,RED ROSE
104,30,BONSAI JUNIPER
104,31,CHERRY TREE
104,28,VIOLET ORCHID
104,18,SWEET WILLIAM
105,19,CAUDATA
105,15,YELLOW LILY
105,28,VIOLET ORCHID
105,25,PURPLE ORCHID
106,25,PURPLE ORCHID
107,19,CAUDATA
107,13,WHITE RED ROSE
107,16,RED SUNFLOWER
108,24,BONSAI ACER BUERGERIANUM
109,24,BONSAI ACER BUERGERIANUM
109,20,YELLOW ORANGE ROSE
110,26,WHITE ORCHID
110,22,BONSAI DISZGALAGONYA
111,20,YELLOW ORANGE ROSE
112,26,WHITE ORCHID
112,28,VIOLET ORCHID
112,16,RED SUNFLOWER
112,18,SWEET WILLIAM
113,28,VIOLET ORCHID
113,21,RED ROSE
113,22,BONSAI DISZGALAGONYA
113,23,BONSAI PINE
114,16,RED SUNFLOWER
115,14,YELLOW ROSE
115,27,RED ORCHID
116,21,RED ROSE
117,13,WHITE RED ROSE
118,23,BONSAI PINE
118,26,WHITE ORCHID
118,27,RED ORCHID
119,13,WHITE RED ROSE
119,28,VIOLET ORCHID
119,20,YELLOW ORANGE ROSE
119,29,BONSAI ELM
120,23,BONSAI PINE
120,28,VIOLET ORCHID
120,17,WHITE VIOLET ORCHID
121,18,SWEET WILLIAM
121,27,RED ORCHID
121,12,SUNFLOWER
121,21,RED ROSE
121,31,CHERRY TREE
122,18,SWEET WILLIAM
122,27,RED ORCHID
122,15,YELLOW LILY
122,26,WHITE ORCHID
123,20,YELLOW ORANGE ROSE
123,30,BONSAI JUNIPER
123,16,RED SUNFLOWER
124,17,WHITE VIOLET ORCHID
124,27,RED ORCHID
124,32,GREEN ORCHID
124,30,BONSAI JUNIPER
125,18,SWEET WILLIAM
125,31,CHERRY TREE
125,23,BONSAI PINE
125,14,YELLOW ROSE
126,14,YELLOW ROSE
127,23,BONSAI PINE
127,21,RED ROSE
128,19,CAUDATA
128,16,RED SUNFLOWER
128,23,BONSAI PINE
128,29,BONSAI ELM
129,17,WHITE VIOLET ORCHID
129,18,SWEET WILLIAM
129,12,SUNFLOWER
129,22,BONSAI DISZGALAGONYA
130,12,SUNFLOWER
